accounts,version_id,observe_dt,treatment_detail_id,name
1621,3,2022-07-13,4,charge_off_day
20,3,2022-07-14,4,charge_off_day
12,3,2022-07-15,4,charge_off_day
405,3,2022-07-16,4,charge_off_day
101,3,2022-07-17,4,charge_off_day
243,3,2022-07-18,4,charge_off_day
362,3,2022-07-19,4,charge_off_day
1943,3,2022-07-20,4,charge_off_day
21,3,2022-07-21,4,charge_off_day
23,3,2022-07-22,4,charge_off_day
738,3,2022-07-23,4,charge_off_day
221,3,2022-07-24,4,charge_off_day
128,3,2022-07-25,4,charge_off_day
337,3,2022-07-26,4,charge_off_day
1533,3,2022-07-27,4,charge_off_day
23,3,2022-07-28,4,charge_off_day
19,3,2022-07-29,4,charge_off_day
444,3,2022-07-30,4,charge_off_day
114,3,2022-07-31,4,charge_off_day
157,3,2022-08-01,4,charge_off_day
342,3,2022-08-02,4,charge_off_day
1971,3,2022-08-03,4,charge_off_day
36,3,2022-08-04,4,charge_off_day
20,3,2022-08-05,4,charge_off_day
417,3,2022-08-06,4,charge_off_day
137,3,2022-08-07,4,charge_off_day
218,3,2022-08-08,4,charge_off_day
345,3,2022-08-09,4,charge_off_day
1736,3,2022-08-10,4,charge_off_day
34,3,2022-08-11,4,charge_off_day
18,3,2022-08-12,4,charge_off_day
436,3,2022-08-13,4,charge_off_day
129,3,2022-08-14,4,charge_off_day
169,3,2022-08-15,4,charge_off_day
404,3,2022-08-16,4,charge_off_day
1743,3,2022-08-17,4,charge_off_day
36,3,2022-08-18,4,charge_off_day
25,3,2022-08-19,4,charge_off_day
1048,3,2022-08-20,4,charge_off_day
384,3,2022-08-21,4,charge_off_day
283,3,2022-08-22,4,charge_off_day
452,3,2022-08-23,4,charge_off_day
1793,3,2022-08-24,4,charge_off_day
27,3,2022-08-25,4,charge_off_day
29,3,2022-08-26,4,charge_off_day
420,3,2022-08-27,4,charge_off_day
205,3,2022-08-28,4,charge_off_day
161,3,2022-08-29,4,charge_off_day
311,3,2022-08-30,4,charge_off_day
1840,3,2022-08-31,4,charge_off_day
34,3,2022-09-01,4,charge_off_day
34,3,2022-09-02,4,charge_off_day
860,3,2022-09-03,4,charge_off_day
134,3,2022-09-04,4,charge_off_day
229,3,2022-09-05,4,charge_off_day
336,3,2022-09-06,4,charge_off_day
1936,3,2022-09-07,4,charge_off_day
42,3,2022-09-08,4,charge_off_day
32,3,2022-09-09,4,charge_off_day
423,3,2022-09-10,4,charge_off_day
149,3,2022-09-11,4,charge_off_day
265,3,2022-09-12,4,charge_off_day
341,3,2022-09-13,4,charge_off_day
