Date1,Date2,Days,acctrefno,application_id,multiply_to
2022-09-01,2022-09-13,-12,460053,22061300JMNY,-1
2022-09-02,2022-09-13,-11,460123,22061301PTTX,-1
2022-08-19,2022-09-13,-25,460141,22061301ZBMO,-1
2022-08-19,2022-09-02,14,460219,22061303SWIN,1
2022-09-07,2022-09-09,1,460219,22061303SWIN,1
2022-08-26,2022-08-29,3,460599,22061400XJAR,1
2022-08-22,2022-09-13,-22,460634,22061401DYAL,-1
2022-08-26,2022-09-13,-17,460894,220614071CNY,-1
2022-09-03,2022-09-13,-10,461080,22061500QYFL,-1
2022-09-08,2022-09-13,-4,461198,22061503PCFL,-1
2022-09-02,2022-09-03,1,461310,22061505SRTX,1
2022-08-26,2022-09-13,-18,463067,22062000YTFL,-1
2022-09-01,2022-09-13,-12,463313,22062005XGOK,-1
2022-09-03,2022-09-13,-10,463328,22062006CHTX,-1
2022-09-02,2022-09-13,-11,463638,220621028KAR,-1
2022-09-08,2022-09-13,-5,464187,220622022BTX,-1
2022-09-02,2022-09-13,-11,464216,22062202JWTN,-1
2022-09-07,2022-09-13,-5,464234,22062202QRMN,-1
2022-09-01,2022-09-02,1,464267,22062203GQAL,1
2022-08-30,2022-09-13,-14,464276,22062203K8TX,-1
2022-08-30,2022-09-13,-14,464383,22062205HPTX,-1
2022-09-02,2022-09-13,-11,464675,220623013ZOK,-1
2022-08-30,2022-09-13,-14,464742,2206230246AR,-1
2022-09-06,2022-09-13,-6,465228,22062403C9TX,-1
2022-09-09,2022-09-13,-4,466096,22062700ZVTX,-1
2022-09-05,2022-09-13,-8,467027,22062900MKNY,-1
2022-09-09,2022-09-13,-4,467269,22062905QHTX,-1
2022-09-09,2022-09-13,-4,467325,22062906N6TX,-1
2022-09-09,2022-09-13,-4,467533,22063000LCMI,-1
2022-04-22,2022-09-13,-144,408320,22020302CKOK,-1
2022-05-11,2022-09-13,-124,413471,22021704KCFL,-1
2022-07-04,2022-07-18,14,413731,22021802ZMTX,1
2022-08-15,2022-08-29,14,413731,22021802ZMTX,1
2022-09-12,2022-09-13,-1,413731,22021802ZMTX,-1
2022-09-02,2022-09-13,-11,414775,220217048ZTX,-1
2022-04-29,2022-06-10,42,414952,22022107GPOK,1
2022-08-19,2022-08-26,7,414952,22022107GPOK,1
2022-09-02,2022-09-09,7,414952,22022107GPOK,1
2022-06-14,2022-09-13,-90,415439,22022101JPTX,-1
2022-05-06,2022-05-17,11,417470,22022801MGAR,1
2022-05-27,2022-05-31,4,417470,22022801MGAR,1
2022-06-10,2022-06-13,3,417470,22022801MGAR,1
2022-06-24,2022-06-29,5,417470,22022801MGAR,1
2022-05-20,2022-09-13,-116,417471,22022801NQAR,-1
2022-08-26,2022-09-02,7,418338,22030201HWAR,1
2022-06-02,2022-08-12,71,418784,22030301PNOK,1
2022-09-02,2022-09-13,-11,418784,22030301PNOK,-1
2022-05-17,2022-09-13,-119,419088,2202170532TX,-1
2022-06-13,2022-09-13,-91,420555,22030706V5AR,-1
2022-05-19,2022-06-23,35,420775,22030801FROK,1
2022-06-30,2022-08-19,50,420775,22030801FROK,1
2022-09-09,2022-09-13,-4,420775,22030801FROK,-1
2022-05-27,2022-09-13,-109,421631,2203100134TX,-1
2022-06-09,2022-09-13,-96,421713,22031002QCMS,-1
2022-05-19,2022-06-20,32,421919,22031006P5FL,1
2022-06-30,2022-08-02,33,421919,22031006P5FL,1
2022-08-26,2022-09-13,-18,421919,22031006P5FL,-1
2022-05-20,2022-09-13,-116,422162,220311014HTX,-1
2022-06-01,2022-09-13,-103,423081,22031400X5FL,-1
2022-06-01,2022-06-29,28,423113,22031401MHTX,1
2022-07-13,2022-08-10,28,423113,22031401MHTX,1
2022-08-04,2022-09-13,-39,423141,22031402F6MI,-1
2022-06-13,2022-09-13,-92,423222,22031404KKFL,-1
2022-06-17,2022-07-29,41,424059,22031602K1TX,1
2022-08-02,2022-09-13,-41,424059,22031602K1TX,-1
2022-06-12,2022-09-13,-93,424513,22031701NZTN,-1
2022-06-16,2022-06-28,12,424515,22031701Q4LA,1
2022-07-03,2022-08-03,31,424515,22031701Q4LA,1
2022-06-01,2022-09-13,-104,424693,22031705N8TX,-1
2022-06-12,2022-09-13,-93,424822,22031707K1TX,-1
2022-05-27,2022-05-31,4,424961,22031800Z6TN,1
2022-06-22,2022-06-27,4,425485,22031901B2TX,1
2022-07-06,2022-09-13,-68,425485,22031901B2TX,-1
2022-05-30,2022-09-13,-106,426037,22032102HGTX,-1
2022-06-13,2022-09-13,-91,426455,22032201D7TN,-1
2022-06-10,2022-09-13,-95,426492,220322024NTX,-1
2022-08-12,2022-08-15,3,426524,22032202S2FL,1
2022-06-21,2022-06-21,0,426540,220322039BFL,1
2022-08-12,2022-08-13,1,426766,220322075ZMO,1
2022-08-26,2022-09-01,6,426766,220322075ZMO,1
2022-09-09,2022-09-13,-4,426766,220322075ZMO,-1
2022-06-09,2022-09-13,-96,426888,22032300L6MI,-1
2022-05-31,2022-09-13,-105,427405,22032400SMMS,-1
2022-06-08,2022-09-13,-97,427458,22032401NVFL,-1
2022-07-27,2022-09-13,-47,427534,220324035LMO,-1
2022-09-08,2022-09-13,-4,427834,22031007D5TX,-1
2022-06-10,2022-09-13,-95,428059,22032502XKTX,-1
2022-06-03,2022-09-13,-102,428483,22032302M3TN,-1
2022-06-10,2022-09-13,-95,428912,22032800XGTX,-1
2022-06-10,2022-06-17,7,429202,220328069GFL,1
2022-06-24,2022-07-08,14,429202,220328069GFL,1
2022-07-29,2022-08-19,21,429202,220328069GFL,1
2022-07-13,2022-09-13,-61,429241,22032806W2WI,-1
2022-06-15,2022-09-13,-89,429606,220329049DIN,-1
2022-06-15,2022-09-13,-89,431978,22032407LHLA,-1
2022-06-09,2022-06-24,15,432169,22033004CLMO,1
2022-06-10,2022-09-13,-95,432240,22040403ZZTN,-1
2022-06-08,2022-09-13,-97,432316,22040101L5MS,-1
2022-06-15,2022-07-07,22,432385,22040405Q8KY,1
2022-07-13,2022-07-15,2,432385,22040405Q8KY,1
2022-07-20,2022-09-13,-55,432385,22040405Q8KY,-1
2022-06-10,2022-07-08,28,432512,2203210623TX,1
2022-07-15,2022-07-22,7,432512,2203210623TX,1
2022-07-29,2022-08-12,14,432512,2203210623TX,1
2022-08-26,2022-09-09,14,432512,2203210623TX,1
2022-07-08,2022-09-13,-66,432643,22040500C9SC,-1
2022-08-03,2022-09-13,-41,432699,2204050151SC,-1
2022-06-17,2022-09-13,-88,432726,22040501J2KY,-1
2022-06-23,2022-09-13,-82,432781,2204050317AL,-1
2022-06-30,2022-07-07,7,432788,220405035CAL,1
2022-07-28,2022-08-04,7,432788,220405035CAL,1
2022-06-28,2022-09-13,-76,432883,22040505JYFL,-1
2022-06-24,2022-09-13,-81,432984,220405079TTN,-1
2022-06-24,2022-09-13,-81,432991,220405079YTN,-1
2022-06-29,2022-09-13,-75,433189,22040600SKFL,-1
2022-06-17,2022-09-13,-88,433280,22040602GZTX,-1
2022-07-01,2022-09-13,-74,433294,22040602RWAR,-1
2022-06-28,2022-09-13,-76,433466,22040605YXSC,-1
2022-08-12,2022-09-13,-32,433861,22040702Y1TX,-1
2022-08-19,2022-09-13,-25,433862,2204070348FL,-1
2022-06-20,2022-07-04,14,434406,22040803DVOK,1
2022-08-29,2022-09-05,7,434406,22040803DVOK,1
2022-06-22,2022-09-13,-82,434950,22040904XVTX,-1
2022-07-05,2022-09-13,-70,435303,22041101N1TX,-1
2022-07-08,2022-09-13,-67,435508,2204110608MI,-1
2022-08-31,2022-09-13,-13,435611,22041107J5OK,-1
2022-06-23,2022-09-13,-82,435629,22041107NHTN,-1
2022-07-15,2022-09-13,-60,435901,22040604QPMI,-1
2022-06-24,2022-09-13,-81,435913,2204120488SC,-1
2022-06-22,2022-09-13,-83,436278,22041301JVSC,-1
2022-06-30,2022-09-13,-75,436307,220413026VTN,-1
2022-07-15,2022-09-13,-60,436912,22041404SJTN,-1
2022-06-24,2022-09-13,-81,436984,220414064CAL,-1
2022-07-01,2022-09-13,-74,437175,2204150099IN,-1
2022-06-24,2022-07-22,28,437200,22041500RVOK,1
2022-08-05,2022-09-02,28,437200,22041500RVOK,1
2022-07-01,2022-09-13,-74,437249,22041501N6SC,-1
2022-08-24,2022-08-25,0,438119,22041801C4IN,1
2022-08-12,2022-08-17,5,438271,22040701C2AL,1
2022-06-27,2022-09-13,-78,438453,220418088VMO,-1
2022-08-03,2022-09-03,31,438537,22041900T4TN,1
2022-06-29,2022-09-13,-76,438558,2204190158SC,-1
2022-07-05,2022-09-13,-70,438598,220419022CFL,-1
2022-07-06,2022-09-13,-68,438617,22041902BCOK,-1
2022-08-05,2022-08-17,12,438642,22041902X4MO,1
2022-07-15,2022-07-19,4,439713,22041600R0MI,1
2022-07-29,2022-08-18,20,439713,22041600R0MI,1
2022-08-24,2022-09-13,-19,439728,22042105GWSC,-1
2022-07-01,2022-09-13,-74,439918,22042108M1TX,-1
2022-06-30,2022-09-13,-75,440531,2204230124FL,-1
2022-07-08,2022-08-05,28,440554,22042301V5TX,1
2022-08-19,2022-09-02,14,440554,22042301V5TX,1
2022-07-06,2022-07-08,2,440972,220425023DTX,1
2022-08-17,2022-09-13,-27,440972,220425023DTX,-1
2022-07-15,2022-09-13,-60,441341,22042600QKTX,-1
2022-08-01,2022-09-13,-43,441398,2204260245TX,-1
2022-07-19,2022-09-13,-55,441661,220426074XOK,-1
2022-07-08,2022-07-19,11,441789,22042700QYFL,1
2022-08-05,2022-08-22,17,441789,22042700QYFL,1
2022-08-20,2022-09-02,13,441810,220427018SMO,1
2022-07-07,2022-09-13,-68,441839,22042701XPKY,-1
2022-09-03,2022-09-13,-10,442192,22042800MDKY,-1
2022-07-05,2022-09-13,-70,442392,22042805FWTX,-1
2022-07-18,2022-09-13,-56,443590,22050200QJSC,-1
2022-07-14,2022-09-13,-61,443617,22050201CFIN,-1
2022-08-01,2022-09-13,-43,443728,22050204V3OK,-1
2022-07-22,2022-07-25,3,444076,22050302DFTX,1
2022-09-02,2022-09-06,4,444076,22050302DFTX,1
2022-07-15,2022-07-27,12,444080,22050302F6FL,1
2022-08-26,2022-09-13,-18,444080,22050302F6FL,-1
2022-08-03,2022-09-13,-41,444211,22050305S4LA,-1
2022-07-29,2022-07-29,0,444215,220414075WMO,1
2022-08-26,2022-09-01,6,444215,220414075WMO,1
2022-09-09,2022-09-13,-4,444622,22050405C4KY,-1
2022-08-01,2022-09-13,-43,444628,22050405FCFL,-1
2022-08-08,2022-09-13,-35,444684,22050406LJMS,-1
2022-07-28,2022-09-13,-47,444746,22050407NJMO,-1
2022-09-07,2022-09-13,-6,444919,22050501NWAL,-1
2022-07-15,2022-09-13,-60,445107,22050505H1TN,-1
2022-07-15,2022-09-13,-60,445387,22050601QYSC,-1
2022-07-28,2022-08-18,21,446702,22051002NPAL,1
2022-08-28,2022-09-13,-16,446702,22051002NPAL,-1
2022-07-22,2022-09-13,-53,446728,220510035HIN,-1
2022-08-03,2022-09-13,-41,447088,2205110151KY,-1
2022-08-05,2022-09-13,-39,447207,22051103HLAL,-1
2022-07-26,2022-09-13,-48,447362,22051106J9TX,-1
2022-07-29,2022-09-13,-46,447708,220512055TTX,-1
2022-07-21,2022-09-13,-54,447746,220510078JMI,-1
2022-08-19,2022-09-13,-25,447972,22051300L7NY,-1
2022-07-30,2022-09-13,-45,448460,22051401F6TX,-1
2022-07-29,2022-09-13,-46,449015,220516051JSC,-1
2022-07-28,2022-09-13,-47,449019,220516053JSC,-1
2022-08-01,2022-09-13,-43,449260,22051700LQTN,-1
2022-08-12,2022-09-09,28,449276,22051700X4TN,1
2022-08-19,2022-08-23,4,449278,22051700Z3IN,1
