day,tranche,accts,balance,past_due_amt,amount_owed_to_dt,total_payments_amt
2022-05-07,Current,3935,5805575.093564017,104.51,476.13,4093.07
2022-05-08,1-7,11,12570.8784620469,219.62,173.89,123.38
2022-05-08,15-29,5,8579.1939774047,517.54,323.42,0
2022-05-08,8-14,14,14464.5982127024,452.32,411.79,51.83
2022-05-08,Current,3929,5788211.323703283,146.53,602.19,4421.85
2022-05-09,1-7,12,15058.3892436835,261.64,349.87,249.44
2022-05-09,15-29,5,8587.39664072,517.54,381.41,0
2022-05-09,8-14,14,14478.6152922347,452.32,433.43,51.83
2022-05-09,Current,4002,5870058.254683096,225.32,687.33,4462.99
2022-05-10,1-7,14,17536.2346522454,301.99,509.41,249.44
2022-05-10,15-29,5,8595.5993040353,517.54,477.7,0
2022-05-10,8-14,16,15853.1142777956,496.66,548.49,51.83
2022-05-10,Current,4086,5954740.037077304,438.28,1440.34,5327.56
2022-05-11,1-7,18,23107.860382249,565.61,675.31,306.51
2022-05-11,15-29,5,8603.8019673506,517.54,517.54,0
2022-05-11,8-14,17,15472.6568076123,534.87,503.32,6.83
2022-05-11,Current,4163,6080011.409412979,240.79,1852.36,5472.12
2022-05-12,1-7,21,27405.0699048435,700.93,754.02,223.44
2022-05-12,15-29,7,10058.8801298004,602.82,564.44,0
2022-05-12,8-14,17,17183.856391429,541.82,595.59,128.38
2022-05-12,Current,4229,6203440.461665033,252.35,2017.71,5831.16
2022-05-13,1-7,25,31642.886602546,866.66,888.61,223.44
2022-05-13,15-29,8,11145.2209712569,667.17,608.68,0
2022-05-13,8-14,15,16472.3879333068,774.49,519.44,52.07
2022-05-13,Current,4259,6226815.750130606,404.27,2187.41,7550.63
2022-05-14,1-7,23,33013.642102367,762.81,634.89,164.54
2022-05-14,15-29,18,21250.1701794429,1314.84,966.14,6.83
2022-05-14,8-14,14,15527.3925494459,449.59,415.7,104.14
2022-05-14,Current,4257,6221453.089901723,225.19,2187.41,7550.63
2022-05-15,1-7,22,30555.8756950136,720.79,466.81,38.48
2022-05-15,15-29,17,20322.2839816942,1238.89,905.38,6.83
2022-05-15,30-44,1,948.2783092346,75.95,60.76,0
2022-05-15,8-14,14,15542.432099948,388.79,415.7,104.14
2022-05-15,Current,4248,6193264.998531392,267.21,2355.49,7731.67
2022-05-16,1-7,21,31140.2106824389,731.63,748.27,206.56
2022-05-16,15-29,16,18627.9648437151,1128.15,893.31,6.83
2022-05-16,30-44,1,949.1804257004,75.95,60.76,0
2022-05-16,8-14,13,14749.5195542842,380.77,439.44,104.14
2022-05-16,Current,4323,6308331.901737509,378,2622.47,8042.18
2022-05-17,1-7,26,34576.269896625,873.22,906.29,206.56
2022-05-17,15-29,17,19206.7722738557,1164.47,1113.3,6.83
2022-05-17,30-44,1,950.0825421662,75.95,75.95,0
2022-05-17,8-14,11,15344.3297951943,435.56,546.67,104.14
2022-05-17,Current,4397,6423500.856613692,230.26,3682.88,8220.39
2022-05-18,1-7,25,31846.1592033933,825.34,883.51,180.48
2022-05-18,15-29,19,20731.380539946502,1257.37,1233.2,6.83
2022-05-18,30-44,1,950.984658632,75.95,75.95,0
2022-05-18,8-14,12,16066.5696931348,541.25,581.65,45.24
2022-05-18,Current,4467,6529695.76672911,442.88,4011.05,8575.61
2022-05-19,1-7,25,34345.1242210232,798.05,872.43,267.14
2022-05-19,15-29,19,20748.9844333187,1349.94,1268.62,6.83
2022-05-19,30-44,1,951.8867750978,75.95,75.95,0
2022-05-19,8-14,14,19336.2432113695,739.62,646.93,0
2022-05-19,Current,4549,6664239.93541447,655.49,4073.25,10097.16
2022-05-20,1-7,28,36803.2247986116,867.79,848.42,357.62
2022-05-20,15-29,20,23839.7997160078,1651.52,1376.98,6.83
2022-05-20,30-44,1,952.7888915636,91.14,75.95,0
2022-05-20,8-14,17,23184.3290396752,928.11,751.83,0
2022-05-20,Current,4571,6681214.280660218,1848.5,4435.09,12536.1
2022-05-21,1-7,51,56653.2634020184,1421.78,648.49,406.41
2022-05-21,15-29,23,26808.4479123306,1783.4,1414.39,6.83
2022-05-21,30-44,2,2735.0904552927,265.11,191.93,0
2022-05-21,8-14,21,28767.5865988968,998.53,803.69,0
2022-05-21,Current,4547,6636109.321529151,921.34,4429.77,12541.45
2022-05-22,1-7,48,51847.602360163,1379.76,335.43,90.13
2022-05-22,15-29,21,24080.5547144,1533.27,1238.53,0
2022-05-22,30-44,3,5278.4922017608,508.41,354.13,0
2022-05-22,8-14,22,29001.0998467314,1005.36,817.35,6.83
2022-05-22,Current,4523,6570389.037286407,1158.24,4742.83,12930.16
2022-05-23,1-7,49,54657.0424613503,1619.64,986.15,280.23
2022-05-23,15-29,20,21617.4759771832,1334.07,1150.73,0
2022-05-23,30-44,4,7769.5871720638,707.61,571.48,0
2022-05-23,8-14,21,26618.0364387756,927.23,802.88,6.83
2022-05-23,Current,4582,6649351.513461875,1268.86,5199.36,13399.47
2022-05-24,1-7,55,63766.1597188149,2123.12,1998.89,285.78
2022-05-24,15-29,20,21638.1676043514,1334.07,1334.07,0
2022-05-24,30-44,4,7776.9117779818,707.61,667.77,0
2022-05-24,8-14,22,27599.8710855562,998.54,965.47,6.83
2022-05-24,Current,4625,6707945.433752361,1269.41,8414.17,13945.7
2022-05-25,1-7,63,77190.8203936556,2716.73,2577.45,325.8
2022-05-25,15-29,25,27682.0378806748,1765.18,1686.9,0
2022-05-25,30-44,4,7784.2363838998,707.61,707.61,0
2022-05-25,8-14,20,25632.1199918493,907.22,841.8,24.78
2022-05-25,Current,4681,6785253.707726903,1121.25,8770.01,14721.51
2022-05-26,1-7,68,89165.7315182311,3031.88,2870.83,516.34
